ticker,annee,trimestre,norme_comptable,total_actif,capitaux_propres_pg,dettes_financieres_lt,dettes_financieres_ct,tresorerie_nette,creances_clients,chiffre_d_affaires_pnb,resultat_brut_exploitation,resultat_net_pg,cout_du_risque,dotations_amortissements,flux_tresorerie_operationnel,capex,nombre_actions_circulation,dividende_par_action,prix_cloture
ADI,2013,T4,IFRS,16200,4350,3950,910,-1850,2280,3550,1050,580,0,26,720,120,22088028,8.50,420.00
ADI,2012,T4,IFRS,16500,4650,4100,880,-1620,2350,4120,1250,810,0,27,910,165,22088028,12.00,545.00
ADI,2011,T4,IFRS,16100,4580,3950,860,-1580,2290,3980,1180,795,0,26,880,155,22088028,12.00,510.00
ADI,2010,T4,IFRS,15800,4500,3800,850,-1550,2250,3850,1150,780,0,25,850,150,22088028,12.00,480.00
AKT,2025,T4,IFRS,6450,2250,3150,480,-3120,1350,3850,1180,485,0,285,810,950,12620400,10.00,1250.00
AKT,2025,T3,IFRS,N/A,N/A,3250,N/A,-3320,1280,1050,N/A,N/A,0,N/A,N/A,N/A,12620400,N/A,1180.00
AKT,2025,T2,IFRS,5820,1950,2950,420,-2850,1210,1980,595,215,0,165,390,480,12620400,N/A,1050.00
AKT,2025,T1,IFRS,N/A,N/A,2850,N/A,-2650,1150,950,N/A,N/A,0,N/A,N/A,N/A,12620400,N/A,985.00
AKT,2024,T4,IFRS,5210,1820,2730,385,-2450,1080,2850,845,305,0,245,680,1150,12620400,8.00,1050.00
AKT,2024,T3,IFRS,N/A,N/A,2650,N/A,-2520,1010,815,N/A,N/A,0,N/A,N/A,N/A,12620400,N/A,820.00
AKT,2024,T2,IFRS,4650,1680,2450,350,-2150,985,1450,420,145,0,135,310,550,12620400,N/A,715.00
AKT,2024,T1,IFRS,N/A,N/A,2320,N/A,-2010,920,611,N/A,N/A,0,N/A,N/A,N/A,12620400,N/A,505.00
AKT,2023,T4,IFRS,4161,1426,2015,214,-979,885,1907,513,198,0,205,482,985,12620400,6.00,470.00
AKT,2023,T2,IFRS,3850,1350,1850,180,-850,720,828,215,75,0,95,210,420,12620400,N/A,395.00
AKT,2022,T4,IFRS,3150,340,1580,120,-820,533,1035,283,99,0,125,185,850,12620400,0.00,295.00
AKT,2021,T4,IFRS,2250,285,1150,95,-750,410,772,185,58,0,95,145,580,8000000,0.00,N/A
AKT,2020,T4,IFRS,1850,210,850,75,-620,320,510,125,32,0,75,95,420,8000000,0.00,N/A
AKT,2019,T4,IFRS,1420,185,620,60,-450,280,380,85,15,0,62,70,310,8000000,0.00,N/A
